lon;lat;ele;time
37.23758;-3.167049;1937.6;2020-01-26-11-36-06
37.237586;-3.167019;1938.3;2020-01-26-11-36-09
37.23759;-3.166987;1939.1;2020-01-26-11-36-12
37.237591;-3.166944;1940;2020-01-26-11-36-15
37.237591;-3.166913;1940.5;2020-01-26-11-36-18
37.237588;-3.166879;1941;2020-01-26-11-36-21
37.237585;-3.166838;1941.4;2020-01-26-11-36-24
37.237583;-3.1668;1941.8;2020-01-26-11-36-27
37.237582;-3.166765;1942;2020-01-26-11-36-30
37.237583;-3.166716;1942.2;2020-01-26-11-36-33
37.237587;-3.166683;1942.5;2020-01-26-11-36-36
37.237593;-3.166653;1942.8;2020-01-26-11-36-39
37.237602;-3.16662;1943.1;2020-01-26-11-36-42
37.237613;-3.16659;1943.4;2020-01-26-11-36-45
37.237625;-3.166562;1943.6;2020-01-26-11-36-48
37.237638;-3.166533;1943.9;2020-01-26-11-36-51
37.237653;-3.166507;1944.3;2020-01-26-11-36-54
37.23767;-3.166482;1944.6;2020-01-26-11-36-57
37.237687;-3.166455;1945.1;2020-01-26-11-37-02
37.237701;-3.166427;1945.5;2020-01-26-11-37-06
37.237714;-3.166398;1946;2020-01-26-11-37-10
37.237731;-3.16637;1946.7;2020-01-26-11-37-15
37.23774;-3.166342;1947.3;2020-01-26-11-37-19
37.23775;-3.166303;1948.1;2020-01-26-11-37-24
37.237758;-3.166262;1949.4;2020-01-26-11-37-29
37.237764;-3.166229;1950.4;2020-01-26-11-37-34
37.237769;-3.1662;1951.3;2020-01-26-11-37-38
37.237779;-3.166173;1952.3;2020-01-26-11-37-42
37.237795;-3.166149;1953.2;2020-01-26-11-37-45
37.237812;-3.166122;1953.8;2020-01-26-11-37-50
37.237822;-3.166083;1954.4;2020-01-26-11-37-54
37.237824;-3.166054;1954.7;2020-01-26-11-37-57
37.237829;-3.166024;1954.7;2020-01-26-11-38-00
37.237835;-3.165998;1954.8;2020-01-26-11-38-03
37.23785;-3.165959;1954.9;2020-01-26-11-38-07
37.23786;-3.165931;1955;2020-01-26-11-38-10
37.237872;-3.165899;1955.1;2020-01-26-11-38-13
37.23789;-3.165866;1955.3;2020-01-26-11-38-18
37.237906;-3.165842;1955.4;2020-01-26-11-38-21
37.237922;-3.165813;1955.6;2020-01-26-11-38-27
37.237933;-3.16578;1956.1;2020-01-26-11-38-31
37.237946;-3.165744;1956.7;2020-01-26-11-38-35
37.237957;-3.165717;1956.9;2020-01-26-11-38-38
37.23797;-3.165689;1957.2;2020-01-26-11-38-42
37.237986;-3.165661;1957.5;2020-01-26-11-38-46
37.238004;-3.16563;1957.7;2020-01-26-11-38-49
37.238024;-3.165593;1958.1;2020-01-26-11-38-52
37.238036;-3.165565;1958.1;2020-01-26-11-38-56
37.23805;-3.165529;1958.2;2020-01-26-11-39-00
37.238062;-3.1655;1958.5;2020-01-26-11-39-03
37.238071;-3.165469;1958.8;2020-01-26-11-39-06
37.23808;-3.16544;1959;2020-01-26-11-39-09
37.238096;-3.165407;1959.3;2020-01-26-11-39-12
37.238111;-3.165373;1959.6;2020-01-26-11-39-15
37.238125;-3.165333;1959.8;2020-01-26-11-39-20
37.238136;-3.165298;1959.9;2020-01-26-11-39-24
37.238146;-3.165269;1959.9;2020-01-26-11-39-27
37.23816;-3.165241;1960;2020-01-26-11-39-30
37.238173;-3.165206;1959.9;2020-01-26-11-39-34
37.238186;-3.165174;1959.9;2020-01-26-11-39-37
37.238198;-3.165141;1959.7;2020-01-26-11-39-41
37.238214;-3.165109;1959.7;2020-01-26-11-39-44
37.238233;-3.16508;1959.7;2020-01-26-11-39-47
37.238253;-3.165046;1959.7;2020-01-26-11-39-51
37.238265;-3.165014;1960.1;2020-01-26-11-39-55
37.238272;-3.164978;1960.5;2020-01-26-11-39-59
37.238275;-3.164941;1961.2;2020-01-26-11-40-02
37.238274;-3.16491;1961.9;2020-01-26-11-40-04
37.238268;-3.164859;1963.6;2020-01-26-11-40-07
37.238264;-3.164821;1965.2;2020-01-26-11-40-10
37.238261;-3.164783;1966.6;2020-01-26-11-40-13
37.238261;-3.164737;1968.1;2020-01-26-11-40-16
37.238264;-3.164702;1969.2;2020-01-26-11-40-19
37.238268;-3.16467;1970.1;2020-01-26-11-40-22
37.238272;-3.164641;1970.9;2020-01-26-11-40-26
37.238276;-3.164609;1971.5;2020-01-26-11-40-29
37.238285;-3.164578;1972;2020-01-26-11-40-32
